X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
0 , 0.285714 , 0.285714 , 0.0 , 0.0 , 0.142857 , 0.0 , 0.142857 , 0.142857
1 , 0.277778 , 0.0 , 0.0555556 , 0.0 , 0.166667 , 0.0 , 0.222222 , 0.277778
2 , 0.333333 , 0.0833333 , 0.166667 , 0.0 , 0.25 , 0.0 , 0.0 , 0.166667
3 , 0.272727 , 0.0 , 0.0 , 0.0909091 , 0.0 , 0.0909091 , 0.0909091 , 0.454545
4 , 0.0 , 0.333333 , 0.0 , 0.111111 , 0.0 , 0.0 , 0.111111 , 0.444444
5 , 0.0 , 0.25 , 0.05 , 0.0 , 0.2 , 0.0 , 0.0 , 0.5
6 , 0.363636 , 0.0 , 0.181818 , 0.0 , 0.0 , 0.181818 , 0.0909091 , 0.181818
7 , 0.166667 , 0.388889 , 0.0 , 0.0555556 , 0.0 , 0.0 , 0.222222 , 0.166667
8 , 0.166667 , 0.25 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25
9 , 0.666667 , 0.111111 , 0.0 , 0.166667 , 0.0555556 , 0.0 , 0.0 , 0.0
10 , 0.705882 , 0.0 , 0.176471 , 0.117647 , 0.0 , 0.0 , 0.0 , 0.0
11 , 0.047619 , 0.0 , 0.142857 , 0.0952381 , 0.0 , 0.0952381 , 0.190476 , 0.428571
12 , 0.25 , 0.25 , 0.0 , 0.25 , 0.0 , 0.166667 , 0.0 , 0.0833333
13 , 0.1875 , 0.0625 , 0.0 , 0.125 , 0.25 , 0.125 , 0.0 , 0.25
14 , 0.25 , 0.25 , 0.25 , 0.0 , 0.0 , 0.0625 , 0.0 , 0.1875
15 , 0.5 , 0.0 , 0.0 , 0.0 , 0.1 , 0.0 , 0.0 , 0.4
16 , 0.130435 , 0.0869565 , 0.173913 , 0.173913 , 0.0434783 , 0.0 , 0.217391 , 0.173913
17 , 0.307692 , 0.0 , 0.0769231 , 0.0 , 0.0 , 0.0 , 0.0769231 , 0.538462
18 , 0.625 , 0.0 , 0.0 , 0.125 , 0.0 , 0.0 , 0.0 , 0.25
19 , 0.1875 , 0.0 , 0.0625 , 0.0625 , 0.0 , 0.1875 , 0.25 , 0.25
20 , 0.25 , 0.0833333 , 0.0 , 0.25 , 0.0 , 0.0 , 0.0 , 0.416667
21 , 0.166667 , 0.222222 , 0.0 , 0.0 , 0.222222 , 0.111111 , 0.0 , 0.277778
22 , 0.166667 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.0833333 , 0.166667 , 0.25
23 , 0.0 , 0.0 , 0.0 , 0.181818 , 0.363636 , 0.0909091 , 0.181818 , 0.181818
24 , 0.266667 , 0.2 , 0.0666667 , 0.0 , 0.0 , 0.0666667 , 0.0666667 , 0.333333
25 , 0.466667 , 0.133333 , 0.0666667 , 0.0 , 0.0666667 , 0.0 , 0.0 , 0.266667
26 , 0.166667 , 0.0 , 0.0 , 0.0 , 0.0833333 , 0.0 , 0.5 , 0.25
27 , 0.166667 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.666667
28 , 0.304348 , 0.0 , 0.173913 , 0.0869565 , 0.0 , 0.0434783 , 0.0869565 , 0.304348
29 , 0.1875 , 0.1875 , 0.1875 , 0.0 , 0.0 , 0.0 , 0.0 , 0.4375
30 , 0.222222 , 0.166667 , 0.0 , 0.0555556 , 0.111111 , 0.0 , 0.222222 , 0.222222
31 , 0.181818 , 0.181818 , 0.272727 , 0.0 , 0.0 , 0.0 , 0.181818 , 0.181818
32 , 0.285714 , 0.0 , 0.0 , 0.142857 , 0.0 , 0.0 , 0.142857 , 0.428571
33 , 0.222222 , 0.0 , 0.222222 , 0.0 , 0.444444 , 0.0 , 0.0 , 0.111111
34 , 0.0909091 , 0.0 , 0.272727 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.545455
35 , 0.0909091 , 0.181818 , 0.0 , 0.0 , 0.0909091 , 0.0 , 0.454545 , 0.181818
36 , 0.242424 , 0.030303 , 0.181818 , 0.030303 , 0.030303 , 0.121212 , 0.0606061 , 0.30303
37 , 0.214286 , 0.0 , 0.285714 , 0.142857 , 0.0 , 0.142857 , 0.0 , 0.214286
38 , 0.272727 , 0.0 , 0.0909091 , 0.272727 , 0.0 , 0.0 , 0.0909091 , 0.272727
39 , 0.25 , 0.0 , 0.166667 , 0.0 , 0.166667 , 0.166667 , 0.0 , 0.25
40 , 0.333333 , 0.166667 , 0.25 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25
41 , 0.4375 , 0.1875 , 0.0 , 0.0625 , 0.0 , 0.0 , 0.125 , 0.1875
42 , 0.25 , 0.0 , 0.0625 , 0.0 , 0.0 , 0.1875 , 0.125 , 0.375
43 , 0.5 , 0.333333 , 0.0 , 0.0 , 0.0833333 , 0.0833333 , 0.0 , 0.0
44 , 0.555556 , 0.0 , 0.333333 , 0.0 , 0.111111 , 0.0 , 0.0 , 0.0
45 , 0.2 , 0.5 , 0.0 , 0.0 , 0.0 , 0.1 , 0.1 , 0.1
46 , 0.428571 , 0.190476 , 0.0 , 0.0 , 0.047619 , 0.0 , 0.0 , 0.333333
47 , 0.411765 , 0.117647 , 0.0 , 0.0588235 , 0.0 , 0.176471 , 0.0 , 0.235294
48 , 0.230769 , 0.0 , 0.0 , 0.0 , 0.0 , 0.461538 , 0.0 , 0.307692
49 , 0.2 , 0.2 , 0.0 , 0.2 , 0.0 , 0.05 , 0.0 , 0.35
50 , 0.521739 , 0.0869565 , 0.173913 , 0.0 , 0.0 , 0.0869565 , 0.0 , 0.130435
51 , 0.333333 , 0.166667 , 0.0 , 0.0 , 0.166667 , 0.166667 , 0.0 , 0.166667
52 , 0.117647 , 0.235294 , 0.117647 , 0.0588235 , 0.352941 , 0.0588235 , 0.0 , 0.0588235
53 , 0.357143 , 0.285714 , 0.0 , 0.0 , 0.0714286 , 0.142857 , 0.142857 , 0.0
54 , 0.428571 , 0.285714 , 0.0 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.142857
55 , 0.1875 , 0.1875 , 0.375 , 0.0 , 0.0625 , 0.0 , 0.0 , 0.1875
56 , 0.428571 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.571429
57 , 0.307692 , 0.0 , 0.0 , 0.0769231 , 0.307692 , 0.153846 , 0.0 , 0.153846
58 , 0.222222 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.444444
59 , 0.333333 , 0.222222 , 0.0 , 0.111111 , 0.0 , 0.111111 , 0.111111 , 0.111111
60 , 0.142857 , 0.357143 , 0.142857 , 0.0 , 0.214286 , 0.0 , 0.0714286 , 0.0714286
61 , 0.0666667 , 0.0666667 , 0.0 , 0.133333 , 0.0 , 0.2 , 0.0666667 , 0.466667
62 , 0.25 , 0.0 , 0.25 , 0.0 , 0.25 , 0.0 , 0.0 , 0.25
63 , 0.272727 , 0.0 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.454545 , 0.181818
64 , 0.0434783 , 0.173913 , 0.521739 , 0.0 , 0.0 , 0.0434783 , 0.0434783 , 0.173913
65 , 0.304348 , 0.0 , 0.0 , 0.0869565 , 0.0869565 , 0.217391 , 0.0434783 , 0.26087
66 , 0.117647 , 0.176471 , 0.0588235 , 0.0 , 0.352941 , 0.0 , 0.0588235 , 0.235294
67 , 0.304348 , 0.217391 , 0.0869565 , 0.130435 , 0.0434783 , 0.0434783 , 0.0434783 , 0.130435
68 , 0.428571 , 0.0 , 0.0 , 0.0 , 0.142857 , 0.285714 , 0.0 , 0.142857
69 , 0.722222 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0555556 , 0.0555556 , 0.166667
70 , 0.111111 , 0.388889 , 0.111111 , 0.0 , 0.0555556 , 0.0 , 0.0 , 0.333333
71 , 0.125 , 0.1875 , 0.25 , 0.0 , 0.0625 , 0.0 , 0.0 , 0.375
72 , 0.944444 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0555556 , 0.0
73 , 0.571429 , 0.142857 , 0.0714286 , 0.0714286 , 0.0 , 0.0 , 0.0714286 , 0.0714286
74 , 0.222222 , 0.0555556 , 0.277778 , 0.111111 , 0.0555556 , 0.0555556 , 0.0 , 0.222222
75 , 0.173913 , 0.347826 , 0.0 , 0.0869565 , 0.0 , 0.0 , 0.0434783 , 0.347826
76 , 0.0714286 , 0.285714 , 0.142857 , 0.0 , 0.0714286 , 0.0714286 , 0.0 , 0.357143
77 , 0.2 , 0.15 , 0.3 , 0.05 , 0.05 , 0.1 , 0.0 , 0.15
78 , 0.190476 , 0.0 , 0.142857 , 0.190476 , 0.142857 , 0.0952381 , 0.0 , 0.238095
79 , 0.16 , 0.16 , 0.12 , 0.08 , 0.28 , 0.08 , 0.0 , 0.12
80 , 0.2 , 0.0 , 0.2 , 0.1 , 0.0 , 0.1 , 0.3 , 0.1
81 , 0.0714286 , 0.142857 , 0.0714286 , 0.0 , 0.214286 , 0.0 , 0.0 , 0.5
82 , 0.0714286 , 0.142857 , 0.142857 , 0.0714286 , 0.214286 , 0.0 , 0.0714286 , 0.285714
83 , 0.0 , 0.307692 , 0.153846 , 0.0 , 0.0769231 , 0.0 , 0.153846 , 0.307692
84 , 0.333333 , 0.0 , 0.0 , 0.166667 , 0.0 , 0.166667 , 0.166667 , 0.166667
85 , 0.0909091 , 0.0454545 , 0.181818 , 0.181818 , 0.0 , 0.0454545 , 0.0454545 , 0.409091
86 , 0.105263 , 0.157895 , 0.157895 , 0.210526 , 0.105263 , 0.210526 , 0.0 , 0.0526316
87 , 0.269231 , 0.115385 , 0.0384615 , 0.115385 , 0.0384615 , 0.0 , 0.153846 , 0.269231
88 , 0.444444 , 0.111111 , 0.111111 , 0.0 , 0.111111 , 0.111111 , 0.111111 , 0.0
89 , 0.153846 , 0.0769231 , 0.153846 , 0.153846 , 0.0769231 , 0.0 , 0.0 , 0.384615
90 , 0.294118 , 0.117647 , 0.0 , 0.147059 , 0.176471 , 0.0294118 , 0.0 , 0.235294
91 , 0.6 , 0.0 , 0.3 , 0.0 , 0.1 , 0.0 , 0.0 , 0.0
92 , 0.142857 , 0.214286 , 0.0 , 0.285714 , 0.0 , 0.0714286 , 0.0 , 0.285714
93 , 0.315789 , 0.105263 , 0.105263 , 0.0 , 0.157895 , 0.105263 , 0.0 , 0.210526
94 , 0.454545 , 0.0 , 0.0 , 0.272727 , 0.0909091 , 0.0 , 0.0909091 , 0.0909091
95 , 0.15 , 0.05 , 0.1 , 0.0 , 0.15 , 0.0 , 0.2 , 0.35
96 , 0.157895 , 0.210526 , 0.157895 , 0.105263 , 0.0526316 , 0.105263 , 0.0 , 0.210526
97 , 0.363636 , 0.0 , 0.272727 , 0.0 , 0.181818 , 0.181818 , 0.0 , 0.0
98 , 0.0833333 , 0.125 , 0.0833333 , 0.0 , 0.291667 , 0.0 , 0.25 , 0.166667
99 , 0.111111 , 0.0 , 0.388889 , 0.0555556 , 0.0 , 0.0555556 , 0.0555556 , 0.333333
100 , 0.125 , 0.0 , 0.25 , 0.0 , 0.0 , 0.0 , 0.125 , 0.5
101 , 0.1875 , 0.1875 , 0.25 , 0.1875 , 0.0625 , 0.0 , 0.0 , 0.125
102 , 0.272727 , 0.272727 , 0.0 , 0.0 , 0.0 , 0.181818 , 0.272727 , 0.0
