X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
0 , 0.0740741 , 0.0740741 , 0.148148 , 0.0 , 0.0 , 0.259259 , 0.148148 , 0.296296
1 , 0.142857 , 0.357143 , 0.214286 , 0.0 , 0.0 , 0.0714286 , 0.0 , 0.214286
2 , 0.0909091 , 0.181818 , 0.0 , 0.0 , 0.0 , 0.272727 , 0.363636 , 0.0909091
3 , 0.1 , 0.2 , 0.1 , 0.0 , 0.0 , 0.0 , 0.0 , 0.6
4 , 0.0 , 0.307692 , 0.0 , 0.153846 , 0.0 , 0.230769 , 0.0769231 , 0.230769
5 , 0.117647 , 0.176471 , 0.0588235 , 0.0 , 0.117647 , 0.0588235 , 0.0588235 , 0.411765
6 , 0.181818 , 0.636364 , 0.0 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.0909091
7 , 0.181818 , 0.363636 , 0.0 , 0.0 , 0.0 , 0.0909091 , 0.0909091 , 0.272727
8 , 0.0 , 0.0909091 , 0.181818 , 0.0909091 , 0.0 , 0.0909091 , 0.0 , 0.545455
9 , 0.0555556 , 0.333333 , 0.111111 , 0.0555556 , 0.0 , 0.0 , 0.111111 , 0.333333
10 , 0.1875 , 0.3125 , 0.0 , 0.0 , 0.0 , 0.0625 , 0.25 , 0.1875
11 , 0.136364 , 0.227273 , 0.0 , 0.0 , 0.0 , 0.136364 , 0.0 , 0.5
12 , 0.0 , 0.181818 , 0.0909091 , 0.0 , 0.0 , 0.0909091 , 0.0909091 , 0.545455
13 , 0.047619 , 0.333333 , 0.0 , 0.0 , 0.0952381 , 0.190476 , 0.0 , 0.333333
14 , 0.117647 , 0.0588235 , 0.0 , 0.0 , 0.0588235 , 0.235294 , 0.176471 , 0.352941
15 , 0.15 , 0.3 , 0.0 , 0.1 , 0.0 , 0.1 , 0.25 , 0.1
16 , 0.0 , 0.227273 , 0.181818 , 0.0454545 , 0.0 , 0.0909091 , 0.227273 , 0.227273
17 , 0.2 , 0.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.1 , 0.3
18 , 0.0 , 0.4 , 0.2 , 0.0 , 0.0 , 0.0666667 , 0.0666667 , 0.266667
19 , 0.0588235 , 0.235294 , 0.176471 , 0.0 , 0.117647 , 0.176471 , 0.0 , 0.235294
20 , 0.375 , 0.25 , 0.125 , 0.0625 , 0.0 , 0.125 , 0.0 , 0.0625
21 , 0.125 , 0.333333 , 0.125 , 0.0416667 , 0.0 , 0.125 , 0.0 , 0.25
22 , 0.117647 , 0.352941 , 0.294118 , 0.0588235 , 0.0 , 0.117647 , 0.0 , 0.0588235
23 , 0.030303 , 0.333333 , 0.0909091 , 0.030303 , 0.030303 , 0.0909091 , 0.0 , 0.393939
24 , 0.2 , 0.2 , 0.0 , 0.0 , 0.1 , 0.0 , 0.0 , 0.5
25 , 0.111111 , 0.5 , 0.166667 , 0.111111 , 0.0 , 0.0 , 0.0555556 , 0.0555556
26 , 0.0 , 0.642857 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.0 , 0.214286
27 , 0.125 , 0.1875 , 0.0625 , 0.0 , 0.0 , 0.0625 , 0.0625 , 0.5
28 , 0.222222 , 0.333333 , 0.0 , 0.111111 , 0.0 , 0.333333 , 0.0 , 0.0
29 , 0.0 , 0.333333 , 0.0833333 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.416667
30 , 0.285714 , 0.0952381 , 0.047619 , 0.047619 , 0.0 , 0.190476 , 0.142857 , 0.190476
31 , 0.208333 , 0.333333 , 0.166667 , 0.0416667 , 0.0 , 0.0416667 , 0.0416667 , 0.166667
32 , 0.0 , 0.333333 , 0.0 , 0.0 , 0.0833333 , 0.0 , 0.0 , 0.583333
33 , 0.185185 , 0.222222 , 0.148148 , 0.0 , 0.0 , 0.185185 , 0.0 , 0.259259
34 , 0.0 , 0.4 , 0.0 , 0.0 , 0.0 , 0.2 , 0.2 , 0.2
35 , 0.0714286 , 0.285714 , 0.357143 , 0.0 , 0.0 , 0.0 , 0.142857 , 0.142857
36 , 0.125 , 0.3125 , 0.0625 , 0.1875 , 0.0625 , 0.0 , 0.0625 , 0.1875
37 , 0.0 , 0.269231 , 0.153846 , 0.115385 , 0.0 , 0.307692 , 0.0384615 , 0.115385
38 , 0.130435 , 0.130435 , 0.0434783 , 0.173913 , 0.0 , 0.0869565 , 0.0 , 0.434783
39 , 0.125 , 0.625 , 0.0 , 0.0 , 0.0 , 0.0625 , 0.0 , 0.1875
40 , 0.166667 , 0.222222 , 0.0 , 0.0 , 0.0 , 0.444444 , 0.111111 , 0.0555556
41 , 0.0 , 0.176471 , 0.0 , 0.0 , 0.0 , 0.117647 , 0.117647 , 0.588235
42 , 0.117647 , 0.176471 , 0.0588235 , 0.0 , 0.0 , 0.117647 , 0.0 , 0.529412
43 , 0.0 , 0.333333 , 0.0 , 0.0666667 , 0.0 , 0.0666667 , 0.133333 , 0.4
44 , 0.125 , 0.0833333 , 0.0416667 , 0.0833333 , 0.0 , 0.125 , 0.25 , 0.291667
45 , 0.0952381 , 0.190476 , 0.0952381 , 0.190476 , 0.0 , 0.190476 , 0.047619 , 0.190476
46 , 0.0952381 , 0.285714 , 0.0 , 0.047619 , 0.0 , 0.238095 , 0.0 , 0.333333
47 , 0.05 , 0.35 , 0.0 , 0.05 , 0.0 , 0.0 , 0.25 , 0.3
48 , 0.0714286 , 0.0714286 , 0.0714286 , 0.142857 , 0.142857 , 0.0 , 0.142857 , 0.357143
49 , 0.153846 , 0.230769 , 0.153846 , 0.0 , 0.0769231 , 0.153846 , 0.153846 , 0.0769231
50 , 0.1875 , 0.375 , 0.0625 , 0.0625 , 0.0 , 0.0 , 0.0 , 0.3125
51 , 0.181818 , 0.409091 , 0.136364 , 0.0909091 , 0.0 , 0.0454545 , 0.0454545 , 0.0909091
52 , 0.0833333 , 0.5 , 0.0 , 0.0416667 , 0.0833333 , 0.125 , 0.0833333 , 0.0833333
53 , 0.333333 , 0.0 , 0.0 , 0.25 , 0.0 , 0.166667 , 0.0 , 0.25
54 , 0.0833333 , 0.333333 , 0.0 , 0.0416667 , 0.125 , 0.0 , 0.0416667 , 0.375
55 , 0.0285714 , 0.314286 , 0.171429 , 0.0285714 , 0.0 , 0.142857 , 0.0285714 , 0.285714
56 , 0.176471 , 0.235294 , 0.0 , 0.0588235 , 0.0 , 0.176471 , 0.294118 , 0.0588235
57 , 0.0909091 , 0.409091 , 0.0 , 0.0909091 , 0.0 , 0.181818 , 0.0909091 , 0.136364
58 , 0.0833333 , 0.0833333 , 0.0833333 , 0.0 , 0.0 , 0.333333 , 0.166667 , 0.25
59 , 0.0689655 , 0.344828 , 0.0 , 0.103448 , 0.0344828 , 0.0344828 , 0.0 , 0.413793
60 , 0.0 , 0.166667 , 0.166667 , 0.333333 , 0.0 , 0.111111 , 0.0555556 , 0.166667
61 , 0.125 , 0.333333 , 0.208333 , 0.125 , 0.0 , 0.0416667 , 0.0416667 , 0.125
62 , 0.25 , 0.125 , 0.0 , 0.0833333 , 0.0 , 0.0833333 , 0.0 , 0.458333
63 , 0.0 , 0.272727 , 0.318182 , 0.0454545 , 0.0454545 , 0.136364 , 0.0909091 , 0.0909091
64 , 0.222222 , 0.277778 , 0.0 , 0.111111 , 0.0 , 0.111111 , 0.0 , 0.277778
65 , 0.0 , 0.277778 , 0.222222 , 0.0555556 , 0.0 , 0.222222 , 0.0555556 , 0.166667
