,P1AncestryProportion,P2AncestryProportion,P3AncestryProportion,P4AncestryProportion,P5AncestryProportion,P6AncestryProportion,P7AncestryProportion,P8AncestryProportion
0,0.052054865,0.000871715,0.110907795,0.105051155,0.092760965,0.36808903,0.051280595,0.21898388
1,0.049088845,0.09539353,0.09468775,0.078986175,0.050645345,0.30598573,0.08664966,0.238562965
2,0.05467567,0.05230959,0.1955562,0.0647555,0.15176663,0.27318891,0.01919517,0.18855233
3,0.109741085,0.08505265,0.24045483,0.064867485,0.05663042,0.28074291,0.05352574,0.10898488
4,0.09185659,0.0771494,0.129105645,0.07658893,0.10367742,0.38338063,0.0068731,0.131368285
5,0.047204895,0.04328263,0.18289881,0.09795705,0.087731855,0.384086035,0.100411875,0.05642685
6,0.078540365,0.070653625,0.156791625,0.06828847,0.09317219,0.362965525,0.048052135,0.121536065
7,0.138903725,0.16994551,0.066254215,0.072088135,0.115973135,0.28963534,0.010051505,0.137148435
8,0.06695324,0.071387545,0.145532375,0.108198445,0.197362835,0.237285285,0.083983235,0.08929704
9,0.07039172,0.02958292,0.11021723,0.16736354,0.064498645,0.415275285,0.01798731,0.12468335
10,0.05689738,0.05038924,0.192578445,0.020759785,0.202476985,0.272371505,0.118544595,0.085982065
11,0.045527505,0.07196237,0.133474065,0.159825875,0.144830655,0.191750435,0.057481435,0.19514766
12,0.01804601,0.084399275,0.15231193,0.1739636,0.070153345,0.268709285,0.028298235,0.20411832
13,0.105696175,0.04919038,0.07001426,0.045289355,0.088313955,0.376913605,0.04084208,0.22374019
14,0.0430439,0.093231465,0.076423295,0.17306041,0.101686315,0.235236865,0.030007845,0.247309905
15,0.06974873,0.041439485,0.108455055,0.169191175,0.082031155,0.31954624,0.055845315,0.153742845
16,0.056157385,0.09685254,0.093585355,0.075976485,0.18997032,0.31856343,0.065274655,0.10361983
17,0.026862835,0.05233537,0.15150633,0.079815925,0.094341375,0.36290889,0.03347044,0.198758835
18,0.138456725,0.02238079,0.245539155,0.04344473,0.041919575,0.26094298,0.122229355,0.12508669
19,0.069327465,0.035140215,0.23381122,0.10531854,0.122268735,0.16761538,0.10267133,0.163847115
20,0.084169865,0.023761445,0.09232498,0.15113165,0.07018316,0.38623077,0.00626585,0.18593228
21,0.096808755,0.041447825,0.189665695,0.08307674,0.05745579,0.298473355,0.09001706,0.14305478
22,0.07479921,0.040672985,0.186208745,0.111014965,0.072067725,0.28677455,0.0954643,0.13299752
23,0.100454665,0.04134507,0.113550205,0.019170145,0.09520807,0.310864135,0.027215725,0.292191985
24,0.046365645,0.055478125,0.149597045,0.20142897,0.153282935,0.188879425,0.06464578,0.140322075
25,0.06660301,0.05431974,0.12961428,0.079351325,0.06784789,0.414484175,0.05886188,0.1289177
26,0.095730825,0.06199834,0.13152599,0.095225025,0.129348315,0.408873995,0.00112162,0.07617589
27,0.061627065,0.114893255,0.118119605,0.02233111,0.219542625,0.250032895,0.023945865,0.18950758
28,0.009972185,0.105954885,0.08769826,0.147225055,0.10030632,0.37245077,0.016636885,0.15975564
29,0.12450296,0.107144125,0.06053199,0.095180105,0.033615155,0.34276723,0.072610125,0.16364831
30,0.12528223,0.083613545,0.13205636,0.045234725,0.105150525,0.27595483,0.007991065,0.22471672
31,0.01995882,0.05779171,0.08141102,0.086317235,0.164170055,0.415490225,0.021733395,0.15312754
32,0.031043455,0.0,0.115531845,0.026505405,0.15935247,0.37473834,0.131991375,0.16083711
33,0.122519615,0.087325035,0.14293403,0.04514115,0.14764318,0.29671548,0.02203342,0.13568809
34,0.092646575,0.047627235,0.09867012,0.035628605,0.214795935,0.23718298,0.08998695,0.1834616
35,0.074336165,0.10859759,0.06976762,0.05234681,0.06022886,0.35518838,0.082261655,0.19727292
36,0.059155295,0.13366788,0.11278061,0.014637615,0.089361235,0.34803423,0.08983004,0.152533095
37,0.116025175,0.07253587,0.147941345,0.063765135,0.108474575,0.30376827,0.03775679,0.14973284
38,0.03624498,0.01424089,0.15535996,0.06965166,0.12955365,0.374299275,0.058987055,0.16166253
39,0.0533079,0.13553652,0.12351924,0.093714205,0.121857825,0.23189949,0.08282859,0.15733623
40,0.030162935,0.14075485,0.13528375,0.07790264,0.078828205,0.382734045,0.050121295,0.10421228
41,0.134462985,0.049583075,0.147013235,0.083235545,0.030520685,0.271834945,0.070409365,0.212940165
42,0.07463906,0.11853572,0.05410917,0.0543949,0.10603359,0.301895775,0.096964445,0.19342734
43,0.11045914,0.039402495,0.076348825,0.097448665,0.07744113,0.29099936,0.15130576,0.156594625
44,0.16495262,0.040740445,0.115924385,0.13870539,0.025556955,0.444893185,0.008062075,0.061164945
45,0.125409635,0.117447045,0.1025191,0.03265778,0.053729345,0.24652742,0.13958832,0.182121355
46,0.08410809,0.01123988,0.196957265,0.05567126,0.10537354,0.274082135,0.0312193,0.24134853
47,0.067864425,0.07367978,0.236261285,0.0852362,0.12242685,0.297822585,0.00747295,0.109235925
48,0.03486966,0.037717395,0.155991755,0.066008595,0.12450785,0.343019145,0.06230656,0.17557904
49,0.036187445,0.078693285,0.129474405,0.144255875,0.13388722,0.19773836,0.06886013,0.21090328
50,0.080250655,0.08435928,0.11565616,0.05004312,0.05224804,0.319301885,0.119487195,0.178653665
51,0.012379355,0.03386944,0.193557745,0.119602005,0.127923525,0.235139575,0.05501886,0.222509495
52,0.132769595,0.08666921,0.17403163,0.07843643,0.040922895,0.27882054,0.07450748,0.13384222
53,0.04233041,0.079643075,0.10434562,0.189376645,0.035209395,0.238596525,0.072116655,0.238381675
54,0.021635465,0.10226147,0.15632801,0.091048855,0.11765378,0.313041415,0.049120755,0.14891025
55,0.099657535,0.045163895,0.23938724,0.078374715,0.115369755,0.220043625,0.07147476,0.130528475
56,0.10033563,0.02751105,0.14494181,0.06743991,0.106292205,0.284446545,0.085442815,0.183590035
57,0.053417935,0.021564275,0.051992955,0.205316725,0.225808925,0.248637685,0.04802091,0.14524059
58,0.16838451,0.05751939,0.162618845,0.058103885,0.131816095,0.2246875,0.004356755,0.19251302
59,0.04842179,0.05171493,0.135742045,0.128388415,0.0566818,0.38107061,0.05991021,0.1380702
60,0.0582417,0.064380355,0.06797763,0.11869623,0.061972685,0.394244925,0.106922325,0.12756415
61,0.07086998,0.062772615,0.08790559,0.04337559,0.12283041,0.333039875,0.050243665,0.228962275
62,0.089995225,0.11678549,0.12583974,0.03914018,0.099476375,0.35227429,0.05210846,0.12438024
63,0.052539125,0.139401395,0.075456035,0.09204329,0.151805195,0.28709313,0.07001636,0.13164547
64,0.10526907,0.039396115,0.208456855,0.073573535,0.053722895,0.362425215,0.07115601,0.086000305
65,0.06590257,0.050054945,0.11247889,0.08834459,0.1473073,0.366875965,0.095790695,0.073245045
66,0.050937155,0.101585755,0.125768275,0.153278175,0.140692835,0.2340695,0.02765115,0.166017155
67,0.182994025,0.104123715,0.127384085,0.144643655,0.0403492,0.1875174,0.05116458,0.16182334
68,0.071708815,0.03239945,0.12053443,0.10941064,0.0537482,0.388571545,0.0319876,0.19163932
69,0.05620457,0.03999701,0.075389295,0.116768215,0.14661212,0.341468005,0.02833641,0.195224375
70,0.098233345,0.028341725,0.141057735,0.05261176,0.091491755,0.37212273,0.06002563,0.15611532
71,0.120893585,0.054616165,0.121328135,0.103500015,0.15302702,0.249314735,0.052772285,0.14454806
72,0.093283105,0.058709305,0.113908915,0.06768456,0.12869324,0.399127115,0.032870845,0.105722915
73,0.04113948,0.063515885,0.148431125,0.07670819,0.15954361,0.364136885,0.023475305,0.12304952
74,0.10937834,0.032069915,0.088085475,0.05263619,0.16626721,0.27729615,0.073808855,0.200457865
75,0.076706095,0.123000145,0.05331366,0.06507012,0.105893555,0.351376825,0.094720955,0.129918645
76,0.06156277,0.1061427,0.20974012,0.07901523,0.14235247,0.191318305,0.07818369,0.131684715
77,0.04853958,0.090796265,0.146367335,0.03160655,0.163848475,0.304971775,0.06034869,0.15352133
78,0.028685205,0.03979266,0.28039674,0.10878363,0.08503426,0.336894625,0.048686815,0.071726065
