,GenomicPosition,P1AncestryProportion,P2AncestryProportion,P3AncestryProportion,P4AncestryProportion,P5AncestryProportion,P6AncestryProportion,P7AncestryProportion,P8AncestryProportion
0,0.0,0.7835,0.0185,0.0235,0.0425,0.0215,0.048,0.041,0.0215
1,1627.0,0.784,0.018,0.0235,0.0425,0.0215,0.048,0.041,0.0215
2,10411.0,0.7835,0.018,0.0235,0.0425,0.0215,0.048,0.0415,0.0215
3,26694.0,0.7835,0.018,0.0235,0.0425,0.0215,0.048,0.0415,0.0215
4,31270.0,0.7835,0.018,0.0235,0.0425,0.0215,0.048,0.0415,0.0215
5,36858.0,0.7735,0.018,0.0235,0.0525,0.0215,0.048,0.0415,0.0215
6,49211.0,0.7735,0.018,0.0235,0.051,0.0215,0.048,0.043,0.0215
7,52242.0,0.774,0.0175,0.0235,0.051,0.0215,0.048,0.043,0.0215
8,54630.0,0.774,0.0175,0.0235,0.051,0.0215,0.048,0.043,0.0215
9,55047.0,0.774,0.0175,0.0235,0.051,0.0215,0.048,0.043,0.0215
10,57183.0,0.774,0.0175,0.0235,0.051,0.0215,0.048,0.043,0.0215
11,83522.0,0.7735,0.018,0.0235,0.051,0.0215,0.048,0.043,0.0215
12,88772.0,0.773,0.018,0.0235,0.051,0.0215,0.048,0.0435,0.0215
13,89812.0,0.773,0.018,0.0235,0.051,0.0215,0.048,0.0435,0.0215
14,96057.0,0.774,0.017,0.0235,0.051,0.0215,0.048,0.0435,0.0215
15,96684.0,0.774,0.017,0.0235,0.051,0.0215,0.048,0.0435,0.0215
16,97481.0,0.7745,0.017,0.0235,0.051,0.0215,0.048,0.043,0.0215
17,101080.0,0.7745,0.017,0.0235,0.051,0.0215,0.048,0.043,0.0215
18,119571.0,0.771,0.017,0.027,0.051,0.0215,0.048,0.043,0.0215
19,121467.0,0.771,0.017,0.027,0.051,0.0215,0.048,0.043,0.0215
20,121674.0,0.7745,0.017,0.0235,0.051,0.0215,0.048,0.043,0.0215
21,132114.0,0.7745,0.017,0.0235,0.051,0.0215,0.048,0.043,0.0215
22,140727.0,0.7745,0.019,0.0215,0.051,0.0215,0.048,0.043,0.0215
23,144538.0,0.7755,0.019,0.0215,0.051,0.0215,0.048,0.042,0.0215
24,177592.0,0.7755,0.019,0.0215,0.051,0.0215,0.048,0.042,0.0215
25,193451.0,0.7755,0.019,0.0215,0.051,0.0215,0.048,0.042,0.0215
26,213183.0,0.775,0.019,0.0215,0.0515,0.0215,0.048,0.042,0.0215
27,213868.0,0.7755,0.019,0.0215,0.051,0.0215,0.048,0.042,0.0215
28,221181.0,0.7755,0.019,0.0215,0.0505,0.022,0.048,0.042,0.0215
29,234865.0,0.7755,0.019,0.0215,0.0505,0.022,0.048,0.042,0.0215
30,242734.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
31,254546.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
32,255484.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
33,255974.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
34,267744.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
35,273884.0,0.7645,0.019,0.0215,0.0615,0.022,0.048,0.042,0.0215
36,274836.0,0.7645,0.019,0.0215,0.0605,0.022,0.049,0.042,0.0215
37,281452.0,0.7645,0.019,0.0215,0.0605,0.022,0.049,0.042,0.0215
38,285972.0,0.7645,0.019,0.0215,0.06,0.0225,0.049,0.042,0.0215
39,291342.0,0.761,0.019,0.025,0.06,0.0225,0.049,0.042,0.0215
40,298395.0,0.761,0.019,0.025,0.06,0.0225,0.049,0.042,0.0215
41,307316.0,0.761,0.019,0.025,0.06,0.0225,0.049,0.042,0.0215
42,329586.0,0.761,0.019,0.025,0.06,0.0225,0.049,0.042,0.0215
43,332999.0,0.7605,0.019,0.025,0.06,0.0225,0.0495,0.042,0.0215
44,344887.0,0.7595,0.019,0.025,0.06,0.0225,0.0505,0.042,0.0215
45,350524.0,0.7595,0.019,0.025,0.0605,0.0225,0.0505,0.042,0.021
46,352317.0,0.7605,0.019,0.025,0.0595,0.0225,0.0505,0.042,0.021
47,358350.0,0.7605,0.019,0.025,0.0595,0.0225,0.052,0.042,0.0195
48,366715.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
49,368971.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
50,378555.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
51,388761.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
52,390970.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
53,395764.0,0.7605,0.019,0.025,0.059,0.0225,0.0525,0.042,0.0195
54,408829.0,0.759,0.019,0.025,0.059,0.0225,0.0525,0.0435,0.0195
55,414806.0,0.759,0.019,0.025,0.059,0.0225,0.0525,0.0435,0.0195
56,419010.0,0.759,0.019,0.025,0.059,0.0225,0.0525,0.0435,0.0195
57,442726.0,0.7595,0.019,0.025,0.059,0.022,0.0525,0.0435,0.0195
58,446905.0,0.758,0.019,0.025,0.059,0.022,0.054,0.0435,0.0195
59,492741.0,0.7585,0.019,0.025,0.059,0.0215,0.054,0.0435,0.0195
60,500761.0,0.7585,0.019,0.025,0.059,0.0215,0.054,0.0435,0.0195
61,503263.0,0.7585,0.019,0.025,0.059,0.0215,0.054,0.0435,0.0195
62,512054.0,0.7585,0.019,0.025,0.061,0.0195,0.054,0.0435,0.0195
63,521687.0,0.7585,0.019,0.025,0.061,0.0195,0.054,0.0435,0.0195
64,524322.0,0.7585,0.019,0.025,0.061,0.0195,0.054,0.0435,0.0195
65,536784.0,0.758,0.019,0.025,0.061,0.0195,0.054,0.0435,0.02
66,537536.0,0.758,0.019,0.025,0.0605,0.0195,0.054,0.044,0.02
67,537652.0,0.7575,0.019,0.025,0.0605,0.02,0.054,0.044,0.02
68,540410.0,0.7575,0.019,0.025,0.0605,0.02,0.054,0.044,0.02
69,541667.0,0.7575,0.019,0.025,0.0605,0.02,0.054,0.044,0.02
70,544584.0,0.7575,0.019,0.025,0.0605,0.02,0.054,0.044,0.02
71,552975.0,0.7575,0.019,0.025,0.0605,0.02,0.054,0.044,0.02
72,561944.0,0.755,0.019,0.025,0.0605,0.02,0.054,0.044,0.0225
73,570775.0,0.755,0.019,0.025,0.0605,0.02,0.054,0.044,0.0225
74,576574.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
75,618456.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
76,637528.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
77,666049.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
78,690916.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
79,702637.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
80,726483.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
81,740068.0,0.7555,0.019,0.025,0.0605,0.02,0.054,0.0435,0.0225
82,744510.0,0.7565,0.019,0.025,0.0595,0.02,0.054,0.0435,0.0225
83,768571.0,0.757,0.019,0.0245,0.0595,0.02,0.054,0.0435,0.0225
84,770860.0,0.758,0.019,0.0245,0.0595,0.019,0.054,0.0435,0.0225
85,791838.0,0.758,0.019,0.0245,0.0595,0.019,0.054,0.0435,0.0225
86,794340.0,0.758,0.019,0.0245,0.0595,0.019,0.054,0.0435,0.0225
87,796204.0,0.758,0.019,0.0245,0.0595,0.019,0.054,0.0435,0.0225
88,806784.0,0.758,0.019,0.0245,0.0595,0.019,0.054,0.0435,0.0225
89,813821.0,0.7585,0.019,0.0245,0.059,0.019,0.054,0.0435,0.0225
90,835689.0,0.7585,0.019,0.0245,0.059,0.019,0.054,0.0435,0.0225
91,851975.0,0.7565,0.019,0.0265,0.059,0.019,0.054,0.0435,0.0225
92,877824.0,0.7555,0.019,0.0265,0.06,0.019,0.054,0.0435,0.0225
